,vehicle,year,mileage,price
0,2017 Toyota Corolla SE,2017,75540,15946
1,2019 Toyota Corolla LE,2019,57206,17378
2,2020 Toyota Corolla LE,2020,20182,20580
3,2020 Toyota Corolla LE,2020,50398,19000
4,2019 Toyota Corolla LE,2019,60156,18990
5,2017 Toyota Corolla LE,2017,56746,18749
6,2019 Toyota Corolla LE,2019,46735,22469
7,2017 Toyota Corolla SE,2017,39219,18989
8,2018 Toyota Corolla LE,2018,43458,19687
9,2020 Toyota Corolla LE,2020,62077,18322
10,2020 Toyota Corolla LE,2020,22002,22405
11,2019 Toyota Corolla L,2019,47231,19944
12,2020 Toyota Corolla LE,2020,45882,19500
13,2020 Toyota Corolla LE,2020,22561,21009
14,2019 Toyota Corolla LE,2019,32166,19316
15,2020 Toyota Corolla LE,2020,19208,20789
16,2020 Toyota Corolla LE,2020,21620,23988
17,2019 Toyota Corolla LE,2019,47944,18289
18,2020 Toyota Corolla LE,2020,26738,19911
19,2019 Toyota Corolla LE,2019,45178,19000
20,2016 Toyota Corolla LE,2016,75408,14854
21,2016 Toyota Corolla LE Plus,2016,60934,13991
22,2019 Toyota Corolla LE,2019,7623,22960
23,2016 Toyota Corolla LE,2016,81300,15934
24,2020 Toyota Corolla LE,2020,56776,19990
25,2020 Toyota Corolla LE,2020,31820,20000
26,2019 Toyota Corolla LE,2019,56657,19520
27,2018 Toyota Corolla LE,2018,62480,17990
28,2020 Toyota Corolla LE,2020,27775,21990
29,2017 Toyota Corolla LE,2017,83396,14800
30,2020 Toyota Corolla LE,2020,35306,21887
31,2019 Toyota Corolla LE,2019,48732,20987
32,2019 Toyota Corolla LE,2019,32110,20488
33,2018 Toyota Corolla LE,2018,59312,17303
34,2020 Toyota Corolla LE,2020,6471,22999
35,2021 Toyota Corolla SE,2021,28416,23876
36,2018 Toyota Corolla LE,2018,67227,16991
37,2020 Toyota Corolla LE,2020,12398,21816
38,2017 Toyota Corolla SE,2017,44893,23481
39,2019 Toyota Corolla ,2019,38936,22000
40,2020 Toyota Corolla SE,2020,39207,23515
41,2021 Toyota Corolla SE,2021,30199,23777
42,2021 Toyota Corolla LE,2021,35211,23199
43,2017 Toyota Corolla LE,2017,35830,17990
44,2019 Toyota Corolla SE,2019,42292,19997
45,2019 Toyota Corolla SE,2019,44598,19000
46,2020 Toyota Corolla SE,2020,38364,21646
47,2019 Toyota Corolla LE,2019,31316,17588
48,2020 Toyota Corolla SE,2020,25836,24999
49,2020 Toyota Corolla LE,2020,31286,21189
50,2020 Toyota Corolla SE,2020,41628,25481
51,2017 Toyota Corolla LE,2017,19753,18499
52,2018 Toyota Corolla SE,2018,39680,19991
53,2015 Toyota Corolla LE Plus,2015,101472,11195
54,2020 Toyota Corolla LE,2020,13167,21500
55,2017 Toyota Corolla L,2017,81396,15593
56,2018 Toyota Corolla LE,2018,26350,23988
57,2021 Toyota Corolla LE,2021,14812,21500
58,2019 Toyota Corolla XSE,2019,32488,21599
59,2020 Toyota Corolla LE,2020,26221,21614
60,2008 Toyota Corolla CE,2008,194681,5999
61,2018 Toyota Corolla LE,2018,26601,19899
62,2021 Toyota Corolla LE,2021,8593,19891
63,2019 Toyota Corolla LE,2019,46820,17499
64,2019 Toyota Corolla LE,2019,57458,19520
65,2016 Toyota Corolla S Plus,2016,34157,18000
66,2019 Toyota Corolla LE,2019,60475,17483
67,2017 Toyota Corolla L,2017,61355,17999
68,2015 Toyota Corolla LE,2015,91430,13551
69,2019 Toyota Corolla LE,2019,59616,17200
70,2019 Toyota Corolla ,2019,66477,21795
71,2019 Toyota Corolla SE,2019,28644,19821
72,2021 Toyota Corolla LE,2021,7644,21981
73,2018 Toyota Corolla SE,2018,73247,16395
74,2021 Toyota Corolla LE,2021,18616,23700
75,2021 Toyota Corolla LE,2021,15713,22191
76,2020 Toyota Corolla XSE,2020,8056,27690
77,2020 Toyota Corolla SE,2020,19395,24000
78,2021 Toyota Corolla SE,2021,6684,25722
79,2020 Toyota Corolla LE,2020,55554,19590
80,2019 Toyota Corolla LE,2019,59799,18520
81,2017 Toyota Corolla 50TH ANNIVERSARY EDITION,2017,90761,16900
82,2016 Toyota Corolla S Special,2016,60018,16999
83,2016 Toyota Corolla S Plus,2016,54977,17000
84,2008 Toyota Corolla ,2008,128000,6694
85,2019 Toyota Corolla L,2019,49676,21012
86,2020 Toyota Corolla SE,2020,27419,26481
87,2017 Toyota Corolla SE,2017,52936,16499
88,2018 Toyota Corolla L,2018,51681,18722
89,2016 Toyota Corolla L,2016,59991,15916
90,2017 Toyota Corolla L,2017,46195,19691
91,2018 Toyota Corolla L,2018,56795,18995
92,2018 Toyota Corolla SE,2018,50454,17686
93,2017 Toyota Corolla LE,2017,59942,15443
94,2015 Toyota Corolla ,2015,72094,16990
95,2014 Toyota Corolla L,2014,54157,16990
96,2021 Toyota Corolla LE,2021,3310,22988
97,2021 Toyota Corolla Nightshade,2021,2473,24587
98,2021 Toyota Corolla LE,2021,7985,24500
99,2011 Toyota Corolla L,2011,133692,9899
100,2020 Toyota Corolla SE,2020,3903,23500
101,2019 Toyota Corolla LE,2019,63785,17399
102,2015 Toyota Corolla LE Plus,2015,7464,19990
103,2016 Toyota Corolla LE,2016,93583,15499
104,2020 Toyota Corolla LE,2020,44355,21888
105,2012 Toyota Corolla LE,2012,108412,9950
106,2019 Toyota Corolla SE,2019,48809,19874
107,2011 Toyota Corolla LE,2011,72528,11821
108,2021 Toyota Corolla SE,2021,6387,24988
109,2013 Toyota Corolla S,2013,91532,12399
110,2017 Toyota Corolla LE,2017,42381,14399
111,2017 Toyota Corolla LE,2017,63195,15999
112,2020 Toyota Corolla LE,2020,26370,22900
113,2014 Toyota Corolla S Plus,2014,66381,16481
114,2006 Toyota Corolla CE,2006,116109,5937
115,2006 Toyota Corolla CE,2006,191571,3800
116,2014 Toyota Corolla S,2014,105478,14888
117,2010 Toyota Corolla LE,2010,97365,9495
118,2016 Toyota Corolla LE,2016,69625,13997
119,2018 Toyota Corolla LE,2018,61380,16957
120,2011 Toyota Corolla LE,2011,173637,7419
121,2019 Toyota Corolla LE,2019,23273,22980
122,2014 Toyota Corolla LE ECO,2014,22595,18990
123,2018 Toyota Corolla SE,2018,25142,20590
124,2017 Toyota Corolla XLE,2017,59839,17999
125,2020 Toyota Corolla LE,2020,43815,22398
126,2020 Toyota Corolla LE,2020,43073,22887
127,2019 Toyota Corolla LE,2019,27376,18989
128,2017 Toyota Corolla LE,2017,66216,15995
129,2011 Toyota Corolla LE,2011,90199,11981
130,2016 Toyota Corolla LE,2016,38410,17499
131,2019 Toyota Corolla LE,2019,42806,17999
132,2019 Toyota Corolla LE,2019,35574,18990
133,2021 Toyota Corolla SE,2021,6058,22000
134,2019 Toyota Corolla LE,2019,42026,17998
135,2017 Toyota Corolla L,2017,48000,17995
136,2016 Toyota Corolla S Plus,2016,103358,13795
137,2021 Toyota Corolla LE,2021,7152,23937
138,2019 Toyota Corolla LE,2019,61041,17063
139,2018 Toyota Corolla LE,2018,97381,12491
140,2018 Toyota Corolla LE,2018,34124,15791
141,2015 Toyota Corolla L,2015,40601,16990
142,2016 Toyota Corolla L,2016,52427,16990
143,2014 Toyota Corolla LE,2014,54554,15990
144,2019 Toyota Corolla LE,2019,58863,18495
145,2015 Toyota Corolla LE,2015,67442,15499
146,2019 Toyota Corolla LE,2019,43091,21887
147,2020 Toyota Corolla LE,2020,44906,21887
148,2020 Toyota Corolla LE,2020,14159,18847
149,2013 Toyota Corolla ,2013,62720,12995
150,2014 Toyota Corolla S,2014,62608,14395
151,2013 Toyota Corolla LE,2013,72345,13895
152,2011 Toyota Corolla S,2011,176675,8495
153,2020 Toyota Corolla LE,2020,35165,22981
154,2020 Toyota Corolla LE,2020,22794,22500
155,2017 Toyota Corolla XSE,2017,38360,21998
156,2016 Toyota Corolla EDITION,2016,72702,17998
157,2019 Toyota Corolla LE,2019,17191,22457
158,2018 Toyota Corolla L,2018,23501,21599
159,2018 Toyota Corolla L,2018,31141,20599
160,2020 Toyota Corolla LE,2020,56598,18480
161,2017 Toyota Corolla L,2017,22793,19990
162,2011 Toyota Corolla S,2011,29735,15590
163,2016 Toyota Corolla LE,2016,31103,17990
164,2015 Toyota Corolla LE,2015,44417,16990
165,2019 Toyota Corolla LE,2019,20466,18990
166,2010 Toyota Corolla ,2010,53660,16590
167,2013 Toyota Corolla S,2013,52354,16590
168,2015 Toyota Corolla L,2015,81315,15500
169,2020 Toyota Corolla SE,2020,35938,24424
170,2016 Toyota Corolla L,2016,68637,16899
171,2019 Toyota Corolla LE,2019,59256,17430
172,2017 Toyota Corolla L,2017,57980,17000
173,2020 Toyota Corolla SE,2020,21808,20918
174,2016 Toyota Corolla S Plus,2016,49436,17999
175,2020 Toyota Corolla LE,2020,21747,20800
176,2015 Toyota Corolla S Plus,2015,43344,17590
177,2020 Toyota Corolla SE,2020,16998,23000
178,2021 Toyota Corolla LE,2021,3695,22999
179,2020 Toyota Corolla LE,2020,21727,22599
180,2019 Toyota Corolla LE,2019,62598,16905
181,2011 Toyota Corolla LE,2011,104683,15590
182,2020 Toyota Corolla LE,2020,56582,18480
183,2019 Toyota Corolla LE,2019,58260,17273
184,2017 Toyota Corolla LE,2017,80405,16977
185,2014 Toyota Corolla S Plus,2014,101158,14798
186,2020 Toyota Corolla LE,2020,31480,21500
187,2018 Toyota Corolla L,2018,85845,19995
188,2014 Toyota Corolla S+,2014,96082,13995
189,2015 Toyota Corolla S,2015,132577,12495
190,2011 Toyota Corolla S,2011,116531,10495
191,2020 Toyota Corolla LE,2020,13168,21229
192,2020 Toyota Corolla LE,2020,21233,24000
193,2009 Toyota Corolla ,2009,177996,6495
194,2016 Toyota Corolla S Plus,2016,68500,16500
195,2018 Toyota Corolla LE,2018,54692,17175
196,2019 Toyota Corolla LE,2019,58588,17333
197,2020 Toyota Corolla LE,2020,31567,21500
198,2020 Toyota Corolla LE,2020,64372,20899
199,2018 Toyota Corolla SE,2018,703,23998
200,2012 Toyota Corolla RON,2012,91111,13995
201,2015 Toyota Corolla S Plus,2015,45318,16590
202,2016 Toyota Corolla S,2016,62116,16495
203,2016 Toyota Corolla S,2016,81199,15195
204,2019 Toyota Corolla SE,2019,46628,19000
205,2013 Toyota Corolla L,2013,66184,11891
206,2016 Toyota Corolla S,2016,80384,15195
207,2010 Toyota Corolla FINANCE,2010,104359,10995
208,2018 Toyota Corolla LE,2018,79000,15995
209,2019 Toyota Corolla LE,2019,35473,23000
210,2020 Toyota Corolla SE,2020,46214,21924
211,2013 Toyota Corolla LE,2013,102000,11950
212,2018 Toyota Corolla LE,2018,56974,17100
213,2009 Toyota Corolla XRS,2009,170911,6990
214,2019 Toyota Corolla LE,2019,52024,18000
215,2003 Toyota Corolla LE,2003,230133,4999
216,2017 Toyota Corolla ,2017,58872,17988
217,2020 Toyota Corolla LE,2020,21233,24000
218,2013 Toyota Corolla LE,2013,104047,11874
219,2018 Toyota Corolla LE,2018,20511,20545
220,2019 Toyota Corolla LE,2019,9123,22925
221,2022 Toyota Corolla SE,2022,10,24769
222,2010 Toyota Corolla LE,2010,84102,10988
223,2017 Toyota Corolla L,2017,68075,17977
224,2018 Toyota Corolla L,2018,62718,18500
225,2008 Toyota Corolla CE,2008,141960,7995
226,2013 Toyota Corolla LE,2013,97733,8691
227,2020 Toyota Corolla LE,2020,25039,22501
228,2007 Toyota Corolla CE,2007,179415,5995
229,2018 Toyota Corolla LE,2018,89532,17573
230,2011 Toyota Corolla S,2011,146162,9999
231,2019 Toyota Corolla LE,2019,52002,21793
232,2019 Toyota Corolla LE,2019,46374,21886
233,2020 Toyota Corolla LE,2020,34220,22518
234,2020 Toyota Corolla SE,2020,12510,26888
235,2021 Toyota Corolla LE,2021,7517,24488
236,2014 Toyota Corolla LE ECO,2014,73326,13999
237,2019 Toyota Corolla LE,2019,44323,18900
238,2019 Toyota Corolla LE,2019,44323,18900
239,2019 Toyota Corolla LE,2019,59652,17588
240,2016 Toyota Corolla S Plus,2016,130064,13999
241,2016 Toyota Corolla LE ECO Plus,2016,54481,13995
242,2015 Toyota Corolla S,2015,89566,14000
243,2018 Toyota Corolla LE,2018,47491,20311
244,2020 Toyota Corolla SE,2020,32290,26391
245,2019 Toyota Corolla LE,2019,29775,21311
246,2021 Toyota Corolla SE,2021,2805,27811
247,2017 Toyota Corolla LE,2017,63300,18311
248,2019 Toyota Corolla LE,2019,10261,23311
249,2020 Toyota Corolla LE,2020,11827,23911
250,2016 Toyota Corolla L,2016,60956,17911
251,2020 Toyota Corolla LE,2020,47633,20050
252,2016 Toyota Corolla S Plus,2016,74895,23000
253,2019 Toyota Corolla SE,2019,27481,24000
254,2019 Toyota Corolla LE,2019,3846,22000
255,2020 Toyota Corolla LE,2020,13824,22998
256,2015 Toyota Corolla S Plus,2015,86363,11490
257,2020 Toyota Corolla SE,2020,6773,22985
258,2009 Toyota Corolla JOE,2009,97160,11495
259,2007 Toyota Corolla FINANCE,2007,97513,9995
260,2009 Toyota Corolla ,2009,103842,9495
261,2019 Toyota Corolla LE,2019,60371,17300
262,2017 Toyota Corolla LE,2017,39770,14299
263,2017 Toyota Corolla LE,2017,36926,14299
264,2018 Toyota Corolla LE,2018,31622,15399
265,2018 Toyota Corolla LE,2018,46462,18989
266,2020 Toyota Corolla SE,2020,9821,26981
267,2017 Toyota Corolla XLE,2017,67104,19981
268,2017 Toyota Corolla SE,2017,99147,17986
269,2015 Toyota Corolla S Plus,2015,78937,15981
272,2020 Toyota Corolla SE,2020,45329,26995
273,2010 Toyota Corolla LE,2010,122462,10995
275,2018 Toyota Corolla SE,2018,33840,23995
276,2020 Toyota Corolla LE,2020,12677,21995
277,2020 Toyota Corolla LE,2020,9757,23411
279,2020 Toyota Corolla SE,2020,14979,23998
280,2006 Toyota Corolla LE,2006,185000,5088
282,2013 Toyota Corolla L,2013,75455,12972
283,2017 Toyota Corolla ,2017,18266,22340
284,2017 Toyota Corolla ,2017,84305,17390
285,2016 Toyota Corolla LE,2016,78000,12995
286,2011 Toyota Corolla LE,2011,153781,8795
288,2021 Toyota Corolla LE,2021,3446,22999
289,2019 Toyota Corolla SE,2019,37186,20599
291,2012 Toyota Corolla S,2012,113834,8999
293,2020 Toyota Corolla SE,2020,36440,24019
295,2019 Toyota Corolla LE,2019,16455,21548
